OrderYear,OrderMonth,CohortYear,CohortMonth,CohortAge,Number of Customers,Number of Orders,Number of ordering customers,Items ordered,Items returned,   Gross Sales   ,   Net Sales   ,,
Y3,1,Y1,4,21,35,9,7,20,4,1357.78,1181.81,,
Y3,1,Y1,5,20,33,9,7,22,4,1305.42,1059.52,,
Y3,1,Y1,6,19,21,6,4,13,1,1092.94,952.75,,
Y3,1,Y1,7,18,13,0,0,0,0,0.00,0.00,,
Y3,1,Y1,8,17,11,1,1,1,0,90.59,90.59,,
Y3,1,Y1,9,16,12,4,4,7,0,776.27,776.27,,
Y3,1,Y1,10,15,13,4,4,9,1,725.55,700.65,,
Y3,1,Y1,11,14,11,1,1,2,0,112.49,112.49,,
Y3,1,Y1,12,13,5,2,2,3,0,178.70,178.70,,
Y3,1,Y2,1,12,7,3,2,4,0,367.13,367.13,,
Y3,1,Y2,2,11,14,5,4,9,0,796.74,796.74,,
Y3,1,Y2,3,10,18,3,3,7,4,449.06,261.88,,
Y3,1,Y2,4,9,15,5,4,9,0,570.94,570.94,,
Y3,1,Y2,5,8,22,2,1,4,0,349.74,349.74,,
Y3,1,Y2,6,7,20,12,6,32,6,2100.61,1758.65,,
Y3,1,Y2,7,6,17,9,6,21,4,1105.49,943.20,,
Y3,1,Y2,8,5,9,2,1,5,0,489.50,489.50,,
Y3,1,Y2,9,4,14,5,4,15,3,1297.17,1055.78,,
Y3,1,Y2,10,3,15,0,0,0,0,0.00,0.00,,
Y3,1,Y2,11,2,43,19,11,41,6,2903.39,2627.37,,
Y3,1,Y2,12,1,27,14,7,34,10,2364.28,1634.69,,
Y3,1,Y3,1,0,33,46,33,93,12,6292.02,5353.06,,
Y3,2,Y1,4,22,35,15,9,25,3,1745.95,1597.98,,
Y3,2,Y1,5,21,33,7,6,13,4,909.73,608.06,,
Y3,2,Y1,6,20,21,3,2,5,0,516.40,516.40,,
Y3,2,Y1,7,19,13,0,0,0,0,0.00,0.00,,
Y3,2,Y1,8,18,11,4,2,12,0,871.95,871.95,,
Y3,2,Y1,9,17,12,4,2,6,0,677.25,677.25,,
Y3,2,Y1,10,16,13,1,1,2,0,224.31,224.31,,
Y3,2,Y1,11,15,11,1,1,1,0,45.49,45.49,,
Y3,2,Y1,12,14,5,0,0,0,0,0.00,0.00,,
Y3,2,Y2,1,13,7,0,0,0,0,0.00,0.00,,
Y3,2,Y2,2,12,14,1,1,1,0,210.69,210.69,,
Y3,2,Y2,3,11,18,7,4,10,2,741.81,618.86,,
Y3,2,Y2,4,10,15,6,3,10,0,618.25,618.25,,
Y3,2,Y2,5,9,22,0,0,0,0,0.00,0.00,,
Y3,2,Y2,6,8,20,4,4,8,1,874.89,804.40,,
Y3,2,Y2,7,7,17,7,3,20,9,1535.82,758.56,,
Y3,2,Y2,8,6,9,4,2,6,0,438.55,438.55,,
Y3,2,Y2,9,5,14,4,2,11,0,647.78,647.78,,
Y3,2,Y2,10,4,15,5,3,14,2,1150.25,992.13,,
Y3,2,Y2,11,3,43,9,6,13,2,885.24,702.59,,
Y3,2,Y2,12,2,27,16,5,34,13,1982.83,1287.90,,
Y3,2,Y3,1,1,33,17,11,47,2,2864.32,2723.34,,
Y3,2,Y3,2,0,24,25,23,58,13,3806.18,3089.23,,
Y3,3,Y1,4,23,35,25,8,42,5,3327.11,2893.29,,
Y3,3,Y1,5,22,33,11,4,20,11,1967.26,833.31,,
Y3,3,Y1,6,21,21,5,4,13,3,1066.89,822.58,,
Y3,3,Y1,7,20,13,0,0,0,0,0.00,0.00,,
Y3,3,Y1,8,19,11,2,1,2,0,220.81,220.81,,
