CustomerType,orderDate,grossSales,numberOfOrders
New Customer Order,2012-01-01,1416.761364,9
New Customer Order,2012-01-02,1027.17803,5
New Customer Order,2012-01-03,678.219697,5
New Customer Order,2012-01-04,280.7765152,4
New Customer Order,2012-01-05,277.2727273,2
New Customer Order,2012-01-06,688.5416667,6
New Customer Order,2012-01-07,475.5681818,4
New Customer Order,2012-01-08,357.2916667,4
New Customer Order,2012-01-09,509.0909091,3
New Customer Order,2012-01-10,746.3068182,6
New Customer Order,2012-01-11,755.7765152,7
New Customer Order,2012-01-12,901.5151515,5
New Customer Order,2012-01-13,87.97348485,1
New Customer Order,2012-01-14,923.7689394,11
New Customer Order,2012-01-15,481.25,3
New Customer Order,2012-01-16,450.2840909,3
New Customer Order,2012-01-17,175.9469697,1
New Customer Order,2012-01-18,431.344697,3
New Customer Order,2012-01-19,1246.022727,8
New Customer Order,2012-01-20,196.6856061,2
New Customer Order,2012-01-21,3430.30303,25
New Customer Order,2012-01-22,1090.909091,11
New Customer Order,2012-01-23,752.3674242,8
New Customer Order,2012-01-24,561.5530303,7
New Customer Order,2012-01-25,1143.181818,9
New Customer Order,2012-01-26,1351.704545,12
New Customer Order,2012-01-27,356.344697,4
New Customer Order,2012-01-28,958.3333333,12
New Customer Order,2012-01-29,408.2386364,6
New Customer Order,2012-01-30,1063.257576,3
New Customer Order,2012-01-31,487.1212121,5
New Customer Order,2012-02-01,1145.643939,8
New Customer Order,2012-02-02,343.1818182,3
New Customer Order,2012-02-03,369.0340909,2
New Customer Order,2012-02-04,395.2651515,4
New Customer Order,2012-02-05,671.6856061,5
New Customer Order,2012-02-06,166.4772727,1
New Customer Order,2012-02-07,140.719697,3
New Customer Order,2012-02-08,1297.064394,4
New Customer Order,2012-02-09,579.9242424,6
New Customer Order,2012-02-10,37.78409091,1
New Customer Order,2012-02-12,191.9507576,2
New Customer Order,2012-02-13,770.9280303,5
New Customer Order,2012-02-14,787.9734848,8
New Customer Order,2012-02-15,399.0530303,5
New Customer Order,2012-02-16,757.1969697,3
New Customer Order,2012-02-17,142.8030303,1
New Customer Order,2012-02-18,753.8825758,5
New Customer Order,2012-02-19,61.45833333,1
New Customer Order,2012-02-20,193.9393939,2
New Customer Order,2012-02-21,372.8219697,1
New Customer Order,2012-02-22,1026.420455,5
